Gene	Confidence level
ADRA1A	highest
GHRHR	highest
IRS2	highest
PPARG	highest
TERT	highest
AGTR1	highest
GRN	highest
KL	highest
PTEN	highest
TXN	highest
GHR	highest
INSR	highest
PAPPA	highest
SIRT6	highest
VEGFA	highest
AKT1	highest
HTT	highest
MSTN	highest
RPS6KB1	highest
UCP1	highest
GH1	highest
IGF1R	highest
NFKBIA	highest
SIRT1	highest
UCP2	highest
ADCY5	high
BUB1B	high
CEBPB	high
CYB5R3	high
G6PD	high
HSPA1A	high
IRS1	high
MTOR	high
PAWR	high
POU1F1	high
SURF1	high
ATG5	high
CDC42	high
CSNK1E	high
FGF21	high
GPX4	high
IGFBP2	high
MT1E	high
NRIP1	high
PIK3CA	high
SHC1	high
BECN1	high
CDKN2A	high
CTF1	high
FST	high
GSTA4	high
IKBKB	high
MTBP	high
NUDT1	high
PLAU	high
SLC13A1	high
AKT2	high
CAT	high
CISD2	high
DGAT1	high
GDF15	high
HSPA1B	high
KCNA3	high
MYC	high
PCK1	high
PRKAR2B	high
TOPORS	high
ALB	high
CAV1	high
COQ7	high
EPS8	high
GHRH	high
IGF1	high
MIF	high
NLRP3	high
PER2	high
PROP1	high
TRPV1	high
ACE2	moderate
ATP5O	moderate
CHRNA7	moderate
DUSP10	moderate
EGR1	moderate
FOXO1	moderate
GCLC	moderate
GSK3A	moderate
HDAC1	moderate
HSPA9	moderate
JAK1	moderate
MAPK10	moderate
MRPS5	moderate
NFE2L1	moderate
PCMT1	moderate
PPARGC1A	moderate
SDHC	moderate
SMOC2	moderate
SOD2	moderate
TARDBP	moderate
TGFBR1	moderate
UCP3	moderate
XRCC6	moderate
ACE	moderate
ATR	moderate
CLU	moderate
E2F1	moderate
EIF5A2	moderate
FOXO3	moderate
GCLM	moderate
GSK3B	moderate
HDAC2	moderate
IGF2	moderate
JAK2	moderate
MAPK14	moderate
MSRA	moderate
NOTCH1	moderate
PEX5	moderate
PRDX1	moderate
SIRT2	moderate
SNAI1	moderate
SQSTM1	moderate
TCF3	moderate
TP53	moderate
VCL	moderate
YAP1	moderate
ADAMTS20	moderate
BCL2L1	moderate
DGKZ	moderate
EEF1A1	moderate
ERCC4	moderate
FOXO4	moderate
GDF11	moderate
GSR	moderate
HIF1A	moderate
INS	moderate
LMNA	moderate
MAPK8	moderate
MT-CO1	moderate
NOTCH2	moderate
PIK3CB	moderate
RICTOR	moderate
SIRT4	moderate
SNAI2	moderate
STUB1	moderate
TELO2	moderate
TUBB6	moderate
VCP	moderate
AKT3	moderate
BUB3	moderate
DHFR	moderate
EEF2	moderate
EZH2	moderate
FXN	moderate
GLO1	moderate
GSTP1	moderate
HSF1	moderate
ITGB1	moderate
LMNB1	moderate
MAPK9	moderate
MXD1	moderate
NOTCH3	moderate
PIK3CG	moderate
RPA1	moderate
SMOC1	moderate
SOD1	moderate
SUMO1	moderate
TGFB1	moderate
TYMS	moderate
VHL	moderate
ADIPOQ	low
APOE	low
BDNF	low
C3	low
CDKN2B	low
COL1A2	low
CREBBP	low
CTNNB1	low
DBN1	low
EGFR	low
ERCC2	low
FOS	low
GPX1	low
HELLS	low
HRAS	low
IGFBP5	low
IL7	low
MDM2	low
MMP14	low
MTHFD1	low
NFKB1	low
NIPSNAP1	low
PARP1	low
PIK3R1	low
PON1	low
PRKCB	low
PTGS2	low
RAD50	low
SERPINE1	low
SLC19A1	low
TERC	low
TNF	low
TPP2	low
WRN	low
AGER	low
AR	low
BLM	low
CASP1	low
CHSY1	low
COL2A1	low
CSF2	low
CYBB	low
DMD	low
ELN	low
ERCC5	low
FOXM1	low
GSS	low
HNRNPD	low
HTRA2	low
IL2	low
JUND	low
ME3	low
MMP9	low
MTHFR	low
NGB	low
NOS3	low
PDE4B	low
PML	low
PPARA	low
PRKCD	low
PTK2	low
RAD52	low
SIRT3	low
SOCS2	low
TERF1	low
TP53BP1	low
TRIM72	low
YWHAZ	low
ANK2	low
ARHGAP1	low
BPIFB4	low
CCL5	low
CNR1	low
COL3A1	low
CSNK2A1	low
CYC1	low
EEF1E1	low
ERBB2	low
ESR1	low
FOXO1	low
HDAC3	low
HP	low
ICAM1	low
IL6	low
LOX	low
MGAT5	low
MSH2	low
NBN	low
NGF	low
NR3C1	low
PDGFRB	low
POLB	low
PPM1D	low
PRKCH	low
PTPN1	low
RB1	low
SIRT5	low
SOD3	low
TGFA	low
TP63	low
WNT16	low
ZMPSTE24	low
APEX1	low
ATM	low
BRCA1	low
CDKN1A	low
COL1A1	low
CREB1	low
CTGF	low
CYP1B1	low
EFEMP1	low
ERCC1	low
FBN1	low
GLRX	low
HDAC4	low
HPGD	low
IGFBP3	low
IL6R	low
MAP3K5	low
MLH1	low
MT-RNR1	low
NCOR2	low
NGFR	low
NRG1	low
PDHB	low
POLG	low
PPP1CA	low
PRKDC	low
RAD23B	low
RELA	low
SIRT7	low
STAT3	low
TGM2	low
TP73	low
WNT7B	low
