compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id,,
Ethanol,64-17-5,Drosophila mojavensis,A350,2%,57.65,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A350,2%,59.55,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A350,4%,28.42,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A350,4%,21.75,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A420,2%,89.09,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A420,4%,88.55,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A420,2%,69.19,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A420,4%,95.7,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A428,2%,21.72,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A428,4%,-3.89,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A428,2%,66.66,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A428,4%,48.71,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A422,2%,37.7,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A422,4%,47.75,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A422,2%,69.04,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A422,4%,23.15,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A376,2%,101.79,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A376,4%,31.53,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A376,2%,75.73,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A376,4%,36.14,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A429,2%,2.51,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A429,4%,-1.96,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A429,2%,100.38,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A429,4%,66.34,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A374,2%,58.11,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A374,4%,19.75,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A374,2%,67.08,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A374,4%,29.7,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A572,2%,103.88,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A572,4%,74.94,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A572,2%,52.76,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A572,4%,55.38,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A316b,2%,105.71,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A316b,4%,52.04,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A316b,2%,70.77,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A316b,4%,42.69,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A514,2%,94.33,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A514,4%,124.24,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A514,2%,92.26,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A514,4%,70.77,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A361,2%,145.62,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A361,4%,119.56,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A361,2%,62.6,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A361,4%,37.39,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A512d,2%,80.71,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A512d,4%,57.39,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A512d,2%,83.67,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A512d,4%,20.88,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A300,2%,123.26,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A300,4%,71.03,,FEMALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A300,2%,50.66,,MALE,O,13369,,
Ethanol,64-17-5,Drosophila mojavensis,A300,4%,81.29,,MALE,O,13369,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,1 mM,0,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.1 mM,4.5,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.01 mM,3.4,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.001 mM,4.7,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.0001 mM,-2.3,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.1 mM,-0.85,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.01 mM,-1.15,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.001 mM,1.4,,MALE,NS,98863,,
Diethylhydroxylamine,3710-84-7,Drosophila melanogaster,Oregon-R,0.0001 mM,2.3,,MALE,NS,98863,,
2-Selenium-bridged β-cyclodextrin,,Caenorhabditis elegans,N2,0.5 mM,7.24,4.76,,S,101039,,
2-Selenium-bridged-beta-cyclodextrin,,Caenorhabditis elegans,N2,0.5 mM,7.24,4.76,,S,101039,,
2-Selenium-bridged-beta-cyclodextrin,,Caenorhabditis elegans,N2,5 mM,8.69,4.76,,S,101039,,
Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.001 M,-3.7,,Male,O,110607,,
Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.01 M,-13.2,,Male,O,110607,,
Calcium lactate,814-80-2,Drosophila melanogaster,Oregon R,0.01 M,-10.7,,Male,O,110607,,
Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.1 M,-56.6,,Male,O,110607,,
Calcium lactate,814-80-2,Drosophila melanogaster,Oregon R,0.001 M,1.8,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,1 M,-9.3,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,-5.2,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,0,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.001 M,0,,Male,O,110607,,
Calcium lactate,814-80-2,Drosophila melanogaster,Oregon R,0.1 M,-66.1,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.001 M,-1.8,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.5M 2x/week,0,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.25M 2x/week,3.8,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01M 2x/week,3.8,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,5.3,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.5 M,9.3,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,12.3,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,20.8,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,14.3,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.5M,-1.9,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,1 M,-32.7,,,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.25 M,22.2,,Male,O,110607,,
Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,7.2,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.01M,3.6,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.001 M,3.6,,,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.1M,14,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.001 M,8,,,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.01M,12,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.1M,15.5,,Male,O,110607,,
Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.001 M,0,,,O,110607,,
Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.1M,-72,,Male,O,110607,,
Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.01M,6,,Male,O,110607,,
Lactic acid,50-21-5,Drosophila melanogaster,Oregon R,0.25M,15.4,,Male,O,110607,,
Cupric chloride,7447-39-4,Drosophila melanogaster,Oregon-R,1 mM,-15.1,,MALE,S,110607,,
sodium L-thiazolidine-4-carboxylate,,Drosophila melanogaster,Oregon-R,0.20%,8,4,MALE,S,118043,,
magnesium L-thiazolidine-4-carboxylate,,Drosophila melanogaster,Oregon-R,0.20%,16,17,MALE,S,118043,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,D32,0.10%,23,21,FEMALE,S,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,D32,0.01%,18,2.32,FEMALE,S,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,D32,0.10%,14.3,-2.73,MALE,S,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,D32,0.01%,20.4,12.4,MALE,S,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,R(1)2 yy/y+Y,0.10%,-10,-9.09,FEMALE,NS,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,R(1)2 yy/y+Y,0.01%,2.28,13.63,FEMALE,NS,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,R(1)2 yy/y+Y,0.10%,15,10,MALE,S,119648,,
2-Ethyl-6-methylpyridin-3-ol hydrochloride,13258-59-8,Drosophila melanogaster,R(1)2 yy/y+Y,0.01%,22,17,MALE,S,119648,,
Nitrosodimethylurea,13256-32-1,Drosophila melanogaster,D32,0.00%,-2.94,0,FEMALE,NS,119648,,
Nitrosodimethylurea,13256-32-1,Drosophila melanogaster,D32,0.00%,-37,-33,MALE,S,119648,,
Hydrocortisone,50-23-7,Rattus norvegicus,Sprague Dawley,37.5 mg/kg/week,-2.08,,MALE,NS,132031,,
Hydrocortisone,50-23-7,Rattus norvegicus,Sprague Dawley,37.5 mg/kg/week,2.12,,FEMALE,NS,132031,,
Amethopterin,60388-53-6,Rattus norvegicus,Sprague Dawley,0.625 mg/kg/week,-6.25,,MALE,NS,132031,,
Amethopterin,60388-53-6,Rattus norvegicus,Sprague Dawley,37.5 mg/kg/week,7.44,,FEMALE,NS,132031,,
Cyclophosphamide,50-18-0,Rattus norvegicus,Sprague Dawley,4 mg/kg/week,-9.37,,MALE,S,132031,,
Cyclophosphamide,50-18-0,Rattus norvegicus,Sprague Dawley,4 mg/kg/week,-9.57,,FEMALE,S,132031,,
 Atropine,51-55-8,Rattus norvegicus,Sprague Dawley,6 mg/kg/week,-8.33,,MALE,NS,132031,,
 Atropine,51-55-8,Rattus norvegicus,Sprague Dawley,6 mg/kg/week,-5.31,,FEMALE,NS,132031,,
Pilocarpine,92-13-7,Rattus norvegicus,Sprague Dawley,30 mg/kg/week,-8.33,,MALE,NS,132031,,
Pilocarpine,92-13-7,Rattus norvegicus,Sprague Dawley,30 mg/kg/week,-12.76,,FEMALE,NS,132031,,
Nicotine,54-11-5,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-11.45,,MALE,S,132031,,
Nicotine,54-11-5,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-8.51,,FEMALE,S,132031,,
Phenobarbital,50-06-6,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-16.66,,MALE,S,132031,,
Phenobarbital,50-06-6,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-9.57,,FEMALE,S,132031,,
Floxuridine,50-91-9,Caenorhabditis elegans,N2,400 μM,38.86,,HERMAPHRODITE,S,153363,,
Floxuridine,50-91-9,Caenorhabditis elegans,N2,400 μM,6.66,,HERMAPHRODITE,S,153363,,
