gene_symbol,reference,organism_name,organism_line_id,sex,change_value,p_value,sample,min_age_of_controls,min_age_of_experiment,mean_age_of_controls,mean_age_of_experiment,max_age_of_controls,max_age_of_experiment,age_units,change_type,n_of_controls,n_of_experiment,statistical_method,change_evaluation_by,measurement_method,comment,pmid
GDF11,10.1007/s10522-018-09789-9,fish Nothobranchius guentheri,n/a,all,55.0%,<0.001,serum,n/a,n/a,6,9,n/a,n/a,months,decreased gene expression,3,3,ANOVA,protein,ELISA,"It was found that GDF11 concentration in the sera of 9-month-old fish was considerably lower than that of 6-month-old fish (p<0.001). Similarly, GDF11 concentration in the different tissues including the intestine was significantly reduced in 9-month-old fish, compared with that of 6-month-old fish. For both 6- and 9-month-old fish, GDF11 level was highest in the brain. Broadly speaking, the change pattern of GDF11 levels was basically consistent with that of gdf11 mRNA levels. The only difference was that in the intestine, GDF11 content decreased with age but gdf11 mRNA did not.",n/a
ADIPOQ,10.1007/s10522-013-9428-5,human,n/a,all,48.1%,<0.001,plasma,18,69,23,74,30,81,years,increased gene expression,152,260,Mann-Whitney test,protein,ELISA,n/a,n/a
ADIPOQ,10.1007/s10522-013-9428-5,human,n/a,male,"52,60%",<0.001,plasma,18,69,23,74,30,81,years,increased gene expression,74,128,Mann-Whitney test,protein,ELISA,n/a,n/a
ADIPOQ,10.1007/s10522-013-9428-5,human,n/a,female,"64,40%",<0.001,plasma,18,69,23,74,30,81,years,increased gene expression,78,132,Mann-Whitney test,protein,ELISA,n/a,n/a
IGF1,10.1007/s10522-013-9428-5,human,n/a,male,"47,10%",<0.001,plasma,18,69,23,74,30,81,years,decreased gene expression,74,128,Mann-Whitney test,protein,ELISA,"In old subjects adiponectin, resistin and the resistin/IGF-1 ratio (but not IGF-1 alone) were associated with age-dependent loss of muscle strength.",n/a
IGF1,10.1007/s10522-013-9428-5,human,n/a,female,"47,70%",<0.001,plasma,18,69,23,74,30,81,years,decreased gene expression,78,132,Mann-Whitney test,protein,ELISA,"In old subjects adiponectin, resistin and the resistin/IGF-1 ratio (but not IGF-1 alone) were associated with age-dependent loss of muscle strength.",n/a
LEP,10.1007/s10522-013-9428-5,human,n/a,male,"82,60%",<0.001,plasma,18,69,23,74,30,81,years,increased gene expression,74,128,Mann-Whitney test,protein,ELISA,Age-related changes in plasma leptin level were significant only in men. But leptin level was significantly higher both in young and elderly women compared to men.,n/a
LEP,10.1007/s10522-013-9428-5,human,n/a,female,"9,10%",0.46,plasma,18,69,23,74,30,81,years,increased gene expression,78,132,Mann-Whitney test,protein,ELISA,Age-related changes in plasma leptin level were significant only in men. But leptin level was significantly higher both in young and elderly women compared to men.,n/a
RGN,10.1007/BF00925738,rat,Wistar,male,116.0%,,liver,n/a,n/a,1,3,n/a,n/a,weeks,increased gene expression,5,5,n/a,protein,ELISA,n/a,n/a
RGN,10.1007/BF00925738,rat,Wistar,male,244.0%,,liver,n/a,n/a,1,5,n/a,n/a,weeks,increased gene expression,5,5,n/a,protein,ELISA,n/a,n/a
RGN,10.1007/BF00925738,rat,Wistar,male,27.0%,,liver,n/a,n/a,5,10,n/a,n/a,weeks,decreased gene expression,5,5,n/a,protein,ELISA,n/a,n/a
RGN,10.1007/BF00925738,rat,Wistar,male,50.0%,,liver,n/a,n/a,5,30,n/a,n/a,weeks,decreased gene expression,5,5,n/a,protein,ELISA,n/a,n/a
RGN,10.1007/BF00925738,rat,Wistar,male,210.0%,,kidney,n/a,n/a,1,5,n/a,n/a,weeks,increased gene expression,5,5,n/a,protein,ELISA,n/a,n/a
SIRT6,10.1007/s10517-020-04986-4,human,n/a,all,83.0%,<0.01,saliva,n/a,n/a,63,82,n/a,n/a,years,decreased gene expression,58,64,n/a,protein,ELISA,n/a,n/a
HMGB2,10.1007/s11357-018-0015-1,human,n/a,all,209.0%,,plasma,20,70,20,70,24,84,years,increased gene expression,4,108,Pearson correlation,protein,ELISA,"The data for 20-24 vs. 70-80 years old. Circulating levels of HMGB2 in human plasma were investigated. Control - young donors 20-24 years old (n=4). The old donors were a cohort of 108 people aged 70 to 100 years (n=108). Protein concentrations were measured by the ELISA kit from Lifespan Biosciences (LS-F11643-1). HMGB2 levels increased with age (R2 value=0.0826, Pearson correlation=0.546). Absolute levels of HMGB2 ranged from 0.4 to 7.9 ng/ml.",n/a
HMGB2,10.1007/s11357-018-0015-1,human,n/a,all,292.0%,,plasma,20,90,20,90,24,100,years,increased gene expression,4,108,Pearson correlation,protein,ELISA,"The data for 20-24 vs. 90-100 years old. Circulating levels of HMGB2 in human plasma were investigated. Control - young donors 20-24 years old (n=4). The old donors were a cohort of 108 people aged 70 to 100 years (n=108). Protein concentrations were measured by the ELISA kit from Lifespan Biosciences (LS-F11643-1). HMGB2 levels increased with age (R2 value=0.0826, Pearson correlation=0.546). Absolute levels of HMGB2 ranged from 0.4 to 7.9 ng/ml.",n/a
FOXO1,10.1007/s10522-007-9114-6,rat,F344,male,66.0%,<0.001,kidney,n/a,n/a,6,24,n/a,n/a,months,reduced protein activity,3,3,"ANOVA, Fisher's test",protein,EMSA,The EMSA method was used to compare nuclear FOXO binding activities in kidney nuclear protein from rats. FOXO activity was decreased with age. The caloric restriction protects from age-related FOXO binding activity decreasing.,n/a
FOS,10.1002/jnr.10428,rat,F344,all,32.0%,<0.02,hippocampus,n/a,n/a,3,30,n/a,n/a,months,reduced protein activity,4,4,two-tailed t test,protein,EMSA,"Measurements of AP-1 binding activity by EMSA over time after hyperoxia also showed significant increases in AP-1 DNA binding activity after 24 hr of hyperoxia. When aged animals were also challenged with a hyperoxia insult, there were no significant increases in AP-1 binding activity",n/a
LAIR1,10.1002/eji.200636678,human,n/a,all,30.0%,<0.001,CD4+ T cells,"0,4",22,n/a,n/a,1,68,years,decreased gene expression,16,25,Mann-Whitney test,protein,flow cytometry,"110 healthy humans of varios age participated in the stuly. The Lair1 gene expression decreases in the CD4 T lymphocytes with age, significant diferences were found between the ages 0 and >20 years. At the same time, these differences were caused by the reduction of the naive T-cells and not by the change in the Lair1 expression in the any of the T-cell subpopulations. The Lair1 expression was consistently higher in the naive T-cells, than in the memory T-cells and do not shows any significant changes with time in the any T-cell subpopulation.",n/a
