gene_id,gene_symbol,gene_name,organism,p_value,sample,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_controls,max_age_of_controls,min_age_of_experiment,max_age_of_experiment,n_of_controls,n_of_experiment,reference,fc,log_fc,change_value,q-value
,CDKN1A,"Cyclin-dependent kinase inhibitor 1A (p21, Cip1)",human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,4.01,,301,
,CELF1,"CUG triplet repeat, RNA binding protein 1",human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.29,,29,
,CELF2,"CUG triplet repeat, RNA binding protein 2",human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.78,,78,
,CIRBP,Cold inducible RNA binding protein,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.48,,48,
,CPSF2,"Cleavage and polyadenylation specific factor 2, 100 kDa",human,"0,021",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.28,,28,
,CPSF7,"Pre-mRNA cleavage factor I, 59 kDa subunit",human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.29,,29,
,CSTF3,"Cleavage stimulation factor, 3′ pre-RNA, subunit 3, 77 kDa",human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.23,,23,
,DAZAP1,DAZ associated protein 1,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.36,,36,
,DDX24,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 24,human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.25,,25,
,DDX42,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.34,,34,
,FEN1,Flap structure-specific endonuclease 1,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.46,,46,
,FOXN3,Checkpoint suppressor 1,human,"0,006",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.73,,-27,
,GRSF1,G-rich RNA sequence binding factor 1,human,"0,0003",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.7,,-30,
,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.3,,30,
,HNRNPC,Heterogeneous nuclear ribonucleoprotein C (C1/C2),human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.24,,24,
,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.38,,38,
,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.38,,38,
,KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.29,,29,
,MBD4,Methyl-CpG binding domain protein 4,human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.34,,34,
