,symbol,lexpressionChangeLogFc,pValue,crResult,measurementMethod,measurementType,restrictionPercent,restrictionTime,age,organism,line,sex,tissue,experimentNumber,doi,expressionChangePercent,isoform
0,Amd1,2.89649,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
1,Rpl3-ps1,7.009797,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
2,Uty,4.908984,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
3,Amd2,2.994914,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
4,Cdk19,2.034855,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
5,Ddx3y,9.484114,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
6,F830016B08Rik,3.694794,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
7,Cbr2,2.046393,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
8,Itpr1,1.258913,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
9,Serpinb6a,1.029975,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
10,Eif2s3y,8.069611,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
11,Smox,1.338354,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
12,Golm1,1.512032,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
13,Bhlhe41,1.231662,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
14,Fzd7,1.10116,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
